Fecha,ralenti_total_h,ralenti_h_sim,reduccion
2025-01-01,76.00000896057347,86.01300119474313,-10.012992234169658
2025-01-02,580.3045430107527,630.2358912783751,-49.93134826762241
2025-01-03,907.3864157706093,948.6110649641577,-41.224649193548316
2025-01-04,447.0287275985663,511.64862765617,-64.61990005760367
2025-01-05,1002.5195340501792,1015.6685517579792,-13.149017707799999
2025-01-06,683.9323924731183,751.6176888014166,-67.68529632829836
2025-01-07,461.8497043010753,496.8685886243386,-35.01888432326331
2025-01-08,352.60732078853044,405.1693446833931,-52.56202389486265
2025-01-09,352.9759408602151,374.81659826762245,-21.840657407407377
2025-01-10,363.382329749104,376.31717500853387,-12.934845259429892
2025-01-11,373.7574193548387,390.82907646356034,-17.071657108721638
2025-01-12,299.80224014336915,306.34244922341696,-6.540209080047816
2025-01-13,380.2303315412186,397.3681198370029,-17.137788295784276
2025-01-14,417.184623655914,431.6359982078853,-14.451374551971298
2025-01-15,297.9140681003584,322.7795978195938,-24.865529719235383
2025-01-16,434.09777777777776,446.33575776583035,-12.237979988052587
2025-01-17,838.4705913978495,847.4115277777778,-8.940936379928303
2025-01-18,525.6156451612903,542.3402370071684,-16.72459184587808
2025-01-19,215.68508960573476,218.31522625448028,-2.63013664874552
2025-01-20,368.4259946236559,372.3010106033453,-3.8750159796893513
2025-01-21,291.6594534050179,296.77681242532856,-5.11735902031063
2025-01-22,333.8721415770609,343.0134635603345,-9.141321983273599
2025-01-23,316.3613172043011,324.50649701314217,-8.145179808841078
2025-01-24,299.52363799283154,305.73957616487456,-6.215938172043025
2025-01-25,304.1788261648746,314.46004241338113,-10.281216248506553
2025-01-26,172.32494623655916,185.33747131549754,-13.012525078938381
2025-01-27,590.6386917562724,604.1956759259259,-13.55698416965356
2025-01-28,729.8765322580646,734.9367724014337,-5.060240143369128
2025-01-29,473.71831541218637,473.71831541218637,0.0
2025-01-30,822.3718996415771,822.3718996415771,0.0
2025-01-31,928.5720519713262,929.8574193548387,-1.2853673835124937
2025-02-01,844.7250396825397,856.6984458098652,-11.973406127325575
2025-02-02,312.47751984126984,312.47751984126984,0.0
2025-02-03,471.2001388888889,477.9303318399044,-6.7301929510155105
2025-02-04,1082.3239384920635,1091.4911357420208,-9.167197249957326
2025-02-05,288.55909722222225,314.05089020097284,-25.491792978750595
2025-02-06,219.06067460317462,225.77612980030722,-6.715455197132599
2025-02-07,758.8415575396825,765.4843800349889,-6.642822495306405
2025-02-08,249.17499007936507,259.52425076804917,-10.349260688684097
2025-02-09,150.00651785714285,150.00651785714285,0.0
2025-02-10,333.135496031746,334.54834549411163,-1.4128494623656138
2025-02-11,333.2654563492064,382.44434464072367,-49.178888291517296
2025-02-12,510.58778769841274,558.4590254309609,-47.87123773254814
2025-02-13,423.0156845238095,440.0914214883086,-17.07573696449907
2025-02-14,484.9296428571429,508.53625375490697,-23.606610897764085
2025-02-15,407.01771825396827,412.4888891022359,-5.4711708482676045
2025-02-16,512.188878968254,523.7687661930364,-11.579887224782397
2025-02-17,685.0015972222222,685.0015972222222,0.0
2025-02-18,332.7966865079365,332.7966865079365,0.0
2025-02-19,316.81909722222224,316.81909722222224,0.0
2025-02-20,438.84025793650795,438.84025793650795,0.0
2025-02-21,401.7978869047619,401.7978869047619,0.0
2025-02-22,330.0269642857143,330.0269642857143,0.0
2025-02-23,362.4166666666667,362.4166666666667,0.0
2025-02-24,635.2473511904763,635.2473511904763,0.0
2025-02-25,758.6871130952381,758.6871130952381,0.0
2025-02-26,648.4026488095238,691.6297799752517,-43.22713116572788
2025-02-27,1320.523869047619,1380.5398878008193,-60.01601875320034
2025-02-28,852.3300595238095,914.5269990399386,-62.19693951612908
2025-03-01,1157.7070071684589,1169.549737753883,-11.842730585424079
2025-03-02,385.9051254480287,391.57999931728966,-5.674873869260978
2025-03-03,651.4672311827957,651.4672311827957,0.0
2025-03-04,763.8812903225806,763.8812903225806,0.0
2025-03-05,1108.6880017921146,1143.4746355820107,-34.78663378989609
2025-03-06,1308.945358422939,1361.0284232697559,-52.0830648468168
2025-03-07,1203.724659498208,1258.1518476702508,-54.42718817204286
2025-03-08,916.0635483870968,944.2312133043182,-28.167664917221373
2025-03-09,490.72905017921147,521.4531934737157,-30.724143294504245
2025-03-10,941.2580555555555,1007.7877425968595,-66.52968704130399
2025-03-11,971.4486379928316,1023.7124551971326,-52.26381720430106
2025-03-12,854.1054480286739,906.140777020396,-52.035328991722054
2025-03-13,993.4072491039426,1033.953313598737,-40.54606449479434
2025-03-14,894.3789695340502,927.5900234575013,-33.21105392345112
2025-03-15,972.0962186379928,1012.6837068399044,-40.58748820191158
2025-03-16,639.5562096774194,680.1716640318314,-40.61545435441201
2025-03-17,847.5290949820788,875.8474212642942,-28.318326282215367
2025-03-18,1054.1136379928316,1107.7238989588668,-53.610260966035185
2025-03-19,1051.9999462365593,1099.044336469534,-47.04439023297482
2025-03-20,1089.2650448028674,1138.5411676587303,-49.27612285586292
2025-03-21,1046.6135573476702,1093.1517542989418,-46.53819695127163
2025-03-22,1040.8591666666666,1090.1768030700632,-49.31763640339659
2025-03-23,576.8550985663082,610.5034282300734,-33.64832966376514
2025-03-24,1182.4389157706094,1223.5686938470728,-41.12977807646348
2025-03-25,1273.6059050179213,1313.5033445340503,-39.897439516129
2025-03-26,1161.0601702508961,1224.1292689985492,-63.069098747653015
2025-03-27,1116.4486559139784,1163.1486049880525,-46.699949074074084
2025-03-28,1122.74041218638,1149.9952699799453,-27.254857793565407
