Ruta,n_obs,var_time,std_time,median_time,mean_time,q25,q75,tiempo_ideal,buffer_recomendado,mean_time_safe,CV,Es_Critica
WM CEDIS CHALCO/BODEGA ARCA DE NOE,27,752.0256410256409,27.423085913617395,0.0,9.22222222222222,0.0,1.0,0.0,35.101549969430266,9.22222222222222,2.9735876291874295,False
WM CEDIS CHALCO/BODEGA AYOTLA,36,1502.1357142857144,38.757395607621966,0.5,23.58333333333333,0.0,55.0,0.5,50.10946637775612,23.58333333333333,1.6434231353055253,False
WM CEDIS CHALCO/BODEGA CHIMALHUACAN,31,1354.9827956989243,36.81009094934328,1.0,14.129032258064516,0.0,1.0,1.0,48.1169164151594,14.129032258064516,2.605280409656716,False
WM CEDIS CHALCO/BODEGA CUAUTLA 2,239,6817588.024331074,2611.0511339939467,0.0,200.92887029288704,0.0,1.0,0.0,3342.145451512252,200.92887029288704,12.994902774239998,True
WM CEDIS CHALCO/BODEGA CUAUTZINGO,28,1876.7195767195776,43.32112160043386,1.0,19.857142857142858,0.0,1.25,1.0,56.45103564855535,19.857142857142858,2.181639217288036,False
WM CEDIS CHALCO/BODEGA GLORIETA APIZACO,107,2677.160994533593,51.74128906911378,0.0,17.906542056074766,0.0,1.0,0.0,66.22885000846564,17.906542056074766,2.8895187528158535,False
WM CEDIS CHALCO/BODEGA IXTAPALUCA 2,21,5074.090476190476,71.23265035214172,1.0,31.09523809523809,0.0,1.0,1.0,92.1777924507414,31.09523809523809,2.290789674418034,False
WM CEDIS CHALCO/BODEGA IZTAPALAPA NORTE,77,1978.3431305536567,44.478569340230095,1.0,21.194805194805195,0.0,1.0,1.0,57.93256875549452,21.194805194805195,2.0985599504887973,False
WM CEDIS CHALCO/BODEGA LA PAZ,36,10693.437301587304,103.40907746221946,0.0,39.138888888888886,0.0,16.5,0.0,132.3636191516409,39.138888888888886,2.642105598750817,False
WM CEDIS CHALCO/BODEGA LA VIRGEN,42,1412.156213704994,37.57866700276893,0.0,15.547619047619047,0.0,1.75,0.0,48.10069376354422,15.547619047619047,2.417004615798308,False
